MLB;PMA
1309608200;1077
3582773601;4466
4409005722;4704
1307879869;1038
1342808301;3602
1343516252;3370
4423066860;2042
4423066940;2908
1308131679;3300
3851936733;1285
3852023545;4479
1309190793;2830
1309597107;5159
1308168070;2528
4977804590;1104
4977689462;1306
1300887568;5437
1300884415;3468
4983555138;4266
4983479256;4238
1454230475;3041
1454232538;1414
3469472071;1755
3469497991;3100
1454232493;1509
4530915560;3390
1309220821;2932
3686732732;4857
3541365951;4227
1308907636;1558
3429477765;3087
1341672664;4329
1341668351;4279
3275597552;4371
2137079601;1255
2137086070;4679
3339581257;1787
3340627105;4600
3341685311;2723
2137073066;3711
4401928264;2609
4401941218;2251
3660776978;1186
3660780022;4793
3337459969;2495
3692774466;2137
3660675140;5815
3326423371;5402
3326427901;2300
3660766174;4281
3696587674;2818
3341434621;2011
3701790592;5556
2051405867;2271
3479683097;4239
4126144954;2951
2051373347;5415
4389832864;5224
1309243024;2552
1309270372;3525
4209678714;2691
4209768070;4626
1343307101;1673
1342295568;1205
3934871161;5114
3934793473;3761
3709198066;1057
3344826043;5711
3344780771;1685
3709186204;5065
1688993766;3764
3576242031;2416
4391752994;1405
3351411341;2004
3779012820;5892
2757261630;3735
2757335371;2142
3370145411;3071
3374420493;5707
2808829349;2152
3379297815;2547
3373453431;2311
1793081645;1292
1793089879;5372
3811927744;1486
1330686637;2952
1309597161;1651
3381183849;5984
3811928348;5140
3403404693;2765
3403442771;5193
3220422883;5891
3220271145;5891
3220264910;4212
3220284090;5178
1308138991;4355
1308926290;3050
3462441803;5853
4085361644;1655
1342805990;3497
1343516285;4791
4709646070;1132
4709658854;1433
4188248260;4818
3121019599;1154
1309612347;5402
3120975541;3973
3699000534;2465
3699049344;1863
3486031807;1966
4188247868;5534
3486021827;2475
4200006212;2096
3507263891;5090
3507276445;4162
4199984504;4624
1309176658;3350
1307881616;3038
4286018320;1780
4285992230;4205
1343513399;1533
4834643658;5368
3758235589;1306
3758235763;1669
4280876434;5950
1309207376;2990
3701324336;3205
3701278806;3204
3535989911;5085
3535985989;1950
1307888805;4628
4280909774;4631
4390186382;3170
1401867909;2159
4409058268;3248
1401873105;4589
4408919554;3442
4572422506;5178
3702517997;3640
3705756427;2701
4714649552;1220
3702529489;5794
3702518209;5874
3705768989;4856
3703421053;1436
3705768133;5153
3703469281;3416
4714648332;1219
4714648780;1866
3705806965;5465
3220533212;4599
3220545955;1606
3421619353;5257
3931571572;4492
3220443880;3217
3420300371;5047
3303967173;3435
3303967233;1515
3692750200;1894
3692725404;3695
3866893922;1546
3340651851;2789
3699486388;1684
3699448194;5238
3340639169;4071
2669858251;5727
4402115656;1798
4402076902;2814
1322554733;4319
2787758214;1263
2787801472;1315
3390147057;4852
3837496536;4323
1342439848;5723
2787764289;1259
2787789302;1560
3336724199;5351
3336724251;5281
3398485263;5182
3506089525;3865
1309609527;3743
1331353977;2807
3507109891;5586
3507111721;4706
3421597815;3276
1420414803;1693
3421585573;1654
1420598934;3588
1373556149;5667
1309588351;3243
4529593188;1329
1307879671;5422
4888492386;4927
1342439869;1986
4581883954;5501
3334979293;3379
3479501215;4342
3687976776;4961
3479539511;4785
1992687395;3248
1992683075;2298
4070934872;5395
4167157264;1728
2087269908;5981
3468962975;1455
4100037746;3050
2087282130;1430
4111950816;3717
4111989380;3110
4111964004;4811
4112002582;2474
5105374856;3776
5105387556;5854
3301549337;2611
3547035790;3111
1308130532;5502
4125893038;5395
4125856062;1531
1308864880;1622
1349882670;5328
1342432638;5549
4395828174;1406
4395854154;1479
3520457257;4534
4233614856;4480
3520407055;4842
4233627760;2163
3500772805;5065
1342631353;4967
3696467716;5270
4179305244;3815
1370750623;1697
3367173577;3201
1370800946;4968
3510475211;3984
3510475249;4320
1940467487;3380
1940479936;1475
5205207684;4381
5205168412;5091
1330691406;2524
1308849017;1343
3537918267;4422
3497527943;3048
3497537015;4529
3537905419;3489
4754560462;5441
4754610804;3410
3482675705;1311
4501248822;5308
4501224626;5183
3703721021;5518
4533446852;1850
4533456678;1932
3703697527;4172
3703701521;2875
3703712253;2338
3618036911;4665
3703707757;5380
3617975177;4056
3617987859;3056
3630404095;3491
4533388376;5975
3618049491;5278
4501411106;5367
4534234874;4197
3630862283;2173
1309215328;2016
3436313957;3469
3436262809;4748
1308860167;2986
1343544387;3265
1342293522;5685
3618770605;4001
3618783609;4058
3652559073;2998
3652610353;2028
4707801018;4372
4707752060;1319
4592835628;4244
4592720334;4868
4707852006;1307
3702426931;1580
4707342178;3566
4707367570;3905
3702476753;5805
3702489591;1770
4709462682;1283
4709437202;3293
4709489054;5726
4709513578;4770
3703539041;4547
4709425668;1601
3703532821;4184
4709477494;1735
4879381978;3390
3774055487;5127
4879407516;3618
3774081361;4309
3773991499;2499
3773993397;2472
5033633572;1279
5033569292;5848
5033622374;2053
5033648416;5355
5038381384;4676
5038368590;3849
3834364433;2325
3834480275;4089
1633624430;5055
3892358021;5479
1633625631;3331
5205589496;2381
3908226433;3018
1422381800;1273
1420414296;1267
5177838886;2143
1373645355;1020
1373556421;4906
5177814504;5370
3937886885;1968
3937923759;1736
3937875459;3361
5230723044;2021
3937887013;3311
5230722738;2742
5230723504;2308
3937888075;1854
1308124985;4413
3686811022;1831
5166513946;5827
5166547054;3073
5166499638;5312
1308871203;2213
4418529212;4565
3902407959;2956
1331356281;3884
3436249037;1229
3436337613;4531
1309600974;5890
1343547657;2735
1342432556;3905
1320065577;2448
1309594383;4831
3701479684;2310
3341499265;5448
3287822515;3017
1309566279;4784
1307889032;4154
3701847873;5222
3701898179;5505
4706444390;2103
1308137012;5931
3338210083;5113
1307897609;5218
3338186261;4954
3322237069;3222
1688749632;5474
1688750022;2896
3451212481;2029
3451200057;3292
1420409877;4295
1422378009;3214
3337485827;3944
3337461711;2735
1373552586;4226
1373641774;3440
3578763847;3253
3578801799;4523
1862876891;1914
3709136042;5107
3709197004;2087
1862879253;3587
3204283202;5005
2103297114;4536
2103279981;1575
3692737834;2355
3337496833;3895
2103279697;1966
2713939630;2417
3339580669;1681
3515431141;3173
4552149068;1293
2713927271;4847
3506089941;5859
2713961550;1033
2713980218;3754
3579249135;1641
2726358255;3659
4001300160;2948
2726370592;5864
3435176423;4740
4402125312;5527
3123413008;4967
3123425163;3392
4375871888;4648
4375800388;2007
3123430168;1586
3123430185;5248
4293072058;5054
4398480092;3296
3156194299;5763
3692765500;3824
3692752168;3224
3156174659;4625
3156173682;1201
3156193110;1274
3156232269;5150
3156180375;3278
3286164869;4410
3757566966;2875
3361923435;1195
3286152367;1343
3546350574;5959
3546221136;5772
3757283742;1053
3757275458;2346
3301574511;3113
3546166454;4712
3546223600;5239
3546350572;4846
3593189102;3316
3593213690;3991
3749693356;1399
3749718730;4469
3310883349;3515
3361533879;5853
1280230500;3481
3251429793;4495
1280263132;1730
3339532221;3734
3283550756;4453
3696480772;3758
1342632085;3632
3251513471;2979
1688650428;3072
3701507296;2915
3334583653;2662
3341503843;3120
4390135342;2038
1420595291;1765
1420417248;4565
3388753635;2145
3832942902;2621
3506300547;1613
1373552119;4049
1373638177;5577
3388684755;2085
3832920778;1844
3835857050;1850
3340708693;3959
3340660501;4930
3341676007;3553
3701786266;2273
3701292404;3008
3701303396;2641
3701292260;1630
3701350134;3095
2103360125;5391
2103364889;2568
1420410010;4824
1422381807;4275
4530597074;4355
3123603679;2847
3123560862;1603
4280969940;5347
3536008379;5860
3520469729;1655
3527187769;3075
3520432029;1526
3527183079;5794
4049943292;2704
1330686566;5505
4128146412;5330
3459622669;1388
4128122998;4045
1370805277;2157
4085243058;4219
4085307992;1288
4456255710;2808
4456217460;5312
1343367867;1949
3647968269;2445
3647929623;3803
4581839626;1581
3647958093;3540
3485380815;5576
4138901838;5301
4316045142;1155
3549974483;2379
3582536237;4192
3485398407;3549
3485447465;5157
3457649119;3469
1308173772;3219
1309597588;1562
3491139009;3693
4152441960;1853
1342504241;3773
3576241031;1378
4391751836;5778
3511127119;5197
3511102279;4267
3185647037;1731
3185629462;1643
4608445844;5472
4608536248;2246
4608550212;5967
3701870397;5585
5166669628;5682
5166656878;5493
1309232940;5053
1309569298;5257
5166642924;4776
5166749864;3662
1307896015;3130
4243886568;4885
1309212024;5593
4243898618;2988
1349882523;2979
4243873126;5346
4243933126;1077
1308189195;1072
1309619702;1641
3524350301;5342
4243622132;1699
4243628516;1498
3524369217;2131
4167135384;1743
4167133416;5563
4611666958;3623
4611716764;3166
1307892597;1198
3515485535;2085
1308871168;1074
3515433877;4306
3504379375;1575
1428349013;5730
1313757270;4094
4186760016;1635
3504379653;3753
4186753086;5437
3504364901;4012
3504365655;1831
4389647034;1284
1313988925;3764
1309183780;3152
3341400049;3713
3701349528;5806
3341715671;4733
1420414504;5317
1422381653;2547
4009455242;4944
4009429730;2436
1309270420;3943
1309566299;4369
1308912385;2876
1308900448;1082
3923177505;5964
5203017818;2304
1307900511;3845
1309219085;5154
1280257745;1425
2770367438;2661
3641275227;5136
4563058012;2461
1309588290;1030
4587053528;3031
1308900575;1763
4586911968;4230
